timestamp,transformer_id,feeder_id,voltage,current,power,energy_consumption
2026-08-11 00:00:00,TR_01,F_01,416.2,79.7,49.5,2500.0
2026-08-11 00:00:00,TR_01,F_02,414.7,68.3,42.2,1800.0
2026-08-11 00:15:00,TR_01,F_01,418.9,63.0,39.4,2512.4
2026-08-11 00:15:00,TR_01,F_02,416.9,56.5,35.2,1810.6
2026-08-11 00:30:00,TR_01,F_01,415.6,44.1,28.3,2522.2
2026-08-11 00:30:00,TR_01,F_02,410.2,43.3,26.4,1819.4
2026-08-11 00:45:00,TR_01,F_01,412.7,92.0,56.8,2529.3
2026-08-11 00:45:00,TR_01,F_02,411.5,47.3,29.9,1826.0
2026-08-11 01:00:00,TR_01,F_01,413.6,52.7,32.3,2543.5
2026-08-11 01:00:00,TR_01,F_02,415.3,54.5,35.9,1833.5
2026-08-11 01:15:00,TR_01,F_01,413.5,61.0,37.5,2551.6
2026-08-11 01:15:00,TR_01,F_02,414.3,72.2,45.8,1842.5
2026-08-11 01:30:00,TR_01,F_01,417.1,73.1,46.9,2561.0
2026-08-11 01:30:00,TR_01,F_02,411.9,26.5,16.3,1854.0
2026-08-11 01:45:00,TR_01,F_01,416.8,68.3,43.3,2572.7
2026-08-11 01:45:00,TR_01,F_02,415.4,46.4,29.0,1858.1
2026-08-11 02:00:00,TR_01,F_01,413.8,75.2,46.3,2583.5
2026-08-11 02:00:00,TR_01,F_02,417.6,28.8,18.9,1865.4
2026-08-11 02:15:00,TR_01,F_01,413.3,85.5,55.3,2595.1
2026-08-11 02:15:00,TR_01,F_02,416.5,61.2,37.8,1870.1
2026-08-11 02:30:00,TR_01,F_01,412.9,75.0,46.8,2608.9
2026-08-11 02:30:00,TR_01,F_02,414.2,61.7,37.8,1879.6
2026-08-11 02:45:00,TR_01,F_01,412.2,82.2,53.5,2620.6
2026-08-11 02:45:00,TR_01,F_02,412.0,66.3,41.8,1889.0
2026-08-11 03:00:00,TR_01,F_01,415.9,75.4,49.1,2634.0
2026-08-11 03:00:00,TR_01,F_02,413.4,68.5,43.4,1899.4
2026-08-11 03:15:00,TR_01,F_01,408.5,71.3,44.0,2646.3
2026-08-11 03:15:00,TR_01,F_02,417.1,46.4,29.7,1910.2
2026-08-11 03:30:00,TR_01,F_01,414.5,92.2,57.3,2657.3
2026-08-11 03:30:00,TR_01,F_02,415.9,43.8,27.0,1917.6
2026-08-11 03:45:00,TR_01,F_01,413.0,83.7,54.3,2671.6
